Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;1;3.A.2;1;2M;4;-55.56;6.33;78.93;0.764
1;1;3.A.2;1;2M;5;-60.25;6.56;87.24;0.782
1;1;3.A.2;1;2M;6;-70.48;6.29;96.15;0.748
1;1;3.A.2;1;2M;7;-77.56;7.92;101.43;0.647
1;1;3.A.2;1;2M;8;-83.67;8.8;106.62;0.635
1;1;3.A.2;1;2M;9;-90.18;11.54;111.71;0.599
1;1;3.A.2;1;2M;10;-95.25;10.78;116.72;0.537
1;1;3.A.2;1;2M;11;-100.29;13.13;120.18;0.47
1;1;3.A.2;1;2M.9_1;1;-89.87;12.46;113.12;0.237
1;1;3.A.2;1;2M.10_1;1;-95.13;10.6;119.01;0.54
1;1;3.A.2;1;2M.10_1;2;-95.08;9.51;121.37;0.343
1;1;3.A.2;1;2M.11_1;1;-100.35;13.75;122.29;0.665
1;1;3.A.2;1;2M.11_1;2;-103.18;13.9;126.58;0.434
1;1;3.A.2;1;2M.11_1.2_1;1;-101.73;11.69;128.02;0.527
1;1;3.A.2;1;2M.11_1.2_1;2;-102.07;11.53;128.18;0.312
1;1;3.A.2;1;2;0;-45.2;4.65;60.56;1.401
1;1;3.A.2;1;2;1;-47.14;4.87;60.26;1.055
1;1;3.A.2;1;2;2;-48.99;8.32;59.34;0.928
1;1;3.A.2;1;2;3;-51.19;15.12;55.96;0.88
1;1;3.A.2;1;2;4;-53.08;24.15;51.1;0.805
1;1;3.A.2;1;2;5;-53.91;30.44;46.63;0.729
1;1;3.A.2;1;2.3_1;1;-50.05;15.32;52.57;0.263
1;1;3.A.2;1;2.4_1;1;-52.11;26.18;52.71;0.509
1;1;3.A.2;1;2.4_1;2;-52.61;29.61;55.65;0.41
1;1;3.A.2;1;2.4_1;3;-51.56;33.63;59.43;0.392
1;1;3.A.2;1;2.4_1;4;-51.05;39.1;64.66;0.364
1;1;3.A.2;1;2.4_1;5;-49.65;43.9;69.22;0.375
1;1;3.A.2;1;2.4_1;6;-49.72;48.86;73.09;0.33
1;1;3.A.2;1;2.4_1;7;-48.84;55.72;78.65;0.34
1;2;1;0;0;0;0.99;0.65;58.39;7.642
1;2;1.A;0;0;0;-1.73;0.73;53.33;5.804
1;2;1.A;1;0;0;-2.67;3.23;56.92;1.314
1;2;1.A;1;1;0;-0.33;6.16;54.76;1.358
1;2;1.A;1;1;1;-0.27;7.68;54.45;1.142
1;2;1.A;1;1;2;-1.08;9.69;55.44;0.781
1;2;1.A;1;1;3;-2.8;12.63;58.76;0.744
1;2;1.A;1;1;4;-5.71;16.36;61.67;0.675
1;2;1.A;1;1;5;-8.03;22.1;66.99;0.648
1;2;1.A;1;1;6;-14.97;32.61;73.25;0.598
1;2;1.A;1;1;7;-17.78;42.23;78.94;0.545
1;2;1.A;1;1;8;-22.43;49.23;83.82;0.48
1;2;1.A;1;1.3_1;1;-3.24;12.31;59.92;0.111
1;2;1.A;1;1.6_1;1;-16.34;44.18;81.12;0.3
1;2;1.A;1;1.7_1;1;-23.35;49.61;84.85;0.248
1;2;1.A;1;1.7_1.1_1;1;-23.55;50.26;85.1;0.278
1;2;1.A;1;1.7_1.1_1;2;-23.27;50.67;85.8;0.223
1;2;1.B.1;0;0;0;3.98;-1.44;61.4;6.207
1;2;1.B.1;1;0;0;1.45;-1.5;61.95;1.83
1;2;1.B.1;1;1;0;0.94;-0.82;62.06;1.647
1;2;1.B.1;1;1;1;0.67;0.16;62.89;1.572
1;2;1.B.1;1;1;2;0.46;1.89;63.71;1.286
1;2;1.B.1;1;1;3;0.08;4.66;66.18;1.169
1;2;1.B.1;1;1;4;0.53;8.96;69.72;1.134
1;2;1.B.1;1;1;5;-0.16;15.23;72.5;1.056
1;2;1.B.1;1;1;6;0.06;25.61;75.71;1.01
1;2;1.B.1;1;1;7;-1.35;33.95;76.24;1.015
1;2;1.B.1;1;1;8;-1.75;43.13;76.11;0.859
1;2;1.B.1;1;1;9;-3.74;55.57;75.98;0.826
1;2;1.B.1;1;1.5_1;1;-5.05;16.84;75.89;0.383
1;2;1.B.1;1;1.5_1;2;-9.21;20.21;76.39;0.348
1;2;1.B.1;1;1.7_1;1;-4.23;35.37;79.44;0.621
1;2;1.B.1;1;1.7_1;2;-6.1;39.59;81.92;0.548
1;2;1.B.1;1;1.7_1;3;-9.23;43.54;84.56;0.545
1;2;1.B.1;1;1.7_1;4;-11.47;48.35;86.52;0.526
1;2;1.B.1;1;1.7_1;5;-13.42;52.55;88.16;0.491
1;2;1.B.1;1;1.7_1;6;-15.57;57.36;89.47;0.496
1;2;1.B.1;1;1.8_1;1;-0.46;45.6;79.57;0.529
1;2;1.B.1;1;1.8_1;2;0.02;49.17;82.37;0.459
1;2;1.B.1;1;1.8_1;3;-0.06;53.98;86.53;0.496
1;2;1.B.1;2;0;0;5.14;-4.36;62.52;1.858
1;2;1.B.1;2;1;0;6.67;-3.68;62.68;1.795
